,Link,Title,Estate_type,Province,District,Ward,Price,Square,Post_date,Describe,Numb_bedroom,Numb_toilet,Numb_floor
10,https://bds.com.vn/ban-nha-50m2-lo-goc-3-mat-tien-ngo-oto-c4-92ty-pho-dang-thai-mai-gan-ho-tay2-p452417.html,Bán nhà 50m2 lô góc 3 mặt tiền ngõ ôtô C4 9.2tỷ Phố Đặng Thai Mai gần Hồ Tây(2),nhà riêng,Hà Nội,Quận Tây Hồ,Phường Quảng An,9.2 tỷ,50 m2,09/08/2024,"Bán nhà 50m2 lô góc 3 mặt tiền ngõ ôtô C4 9.2tỷ Phố Đặng Thai Mai Quảng An gần Hồ Tây

- Hiện nhà C4 cũ xác định bán đất cực đẹp khu Đặng Thai Mai xung quanh là các khách sạn, tòa căn hộ, khu vực nhiều người nước ngoài sinh sống 
- Khu vực an sinh tốt, tiện ích VIP, ngay gần Hồ Tây, Quảng An, Tây Hồ, Xuân Diệu, Quảng Khánh, Tô Ngọc Vân..
Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0337628046 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Tây Hồ
Mua bán nhà đất Phường Quảng An",2,1,1
11,https://bds.com.vn/ban-nha-cau-giay-cuc-hiem-kinh-doanh-dinh-o-to-nho-qua-nha-mt-5met-42m2x3t-nhinh-5ty-p452435.html,"Bán Nhà Cầu Giấy, Cực Hiếm, Kinh Doanh Đỉnh, Ô Tô Nhỏ Qua Nhà, MT 5mét, 42m2x3T Nhỉnh 5Tỷ.",nhà riêng,Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,5.40 tỷ,42 m2,09/08/2024,"-	Vị trí cực đẹp, nhà nằm trung tâm Cầu Giấy, giao với phố Cầu Giấy, Duy Tân, Xuân Thủy, Nguyễn Phong Sắc, Thành Thái,.... xung quang đầy đủ tiện ích, TTTM, ĐHSP, ĐHQGHN, ĐH FPT,....
-	Ngõ trước nhà thoáng sáng, thông tứ tung, phù hợp kinh doanh nhỏ, vừa ở vừa kinh doanh.
-	Chủ bán đổi nhà mới to hơn ở cho sướng
-	Mặt tiền cực hiếm, hơn 5 mét, ngõ trước nhà hơn 2 mét
-	Sổ đỏ vuông vắn, sẵn sang giao dịch
-	Liên hệ trực tiếp: 0387186661                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Cầu Giấy
Mua bán nhà đất Phường Dịch Vọng Hậu",,,
12,https://bds.com.vn/nha-dep-dinh-cong-55m2-4-tang-mt-5m-lo-goc-gara-o-to-kd-chi-5x-ty-p304909.html,"Nhà đẹp Định công 55m2, 4 tầng, MT 5m, lô góc, gara ô tô, KD chỉ 5.x tỷ",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Định Công,5.90 tỷ,55 m2,09/08/2024,"+ Bán nhà Định công, Hoàng Mai 55m2, 4 tầng, mặt tiền 5m, hai thoáng, ô tô đỗ cửa, vào nhà chỉ 5.9 tỷ( có thương lượng)
+ Điểm nổi bật là nhà được thiết kế Khung cột Bê tông chắc chắn, lô góc nên phòng nào cũng có cửa sổ rộng, ngập tràn ánh sáng.
+ Gia chủ tâm huyết xây dựng cẩn thận mới được vài năm, nay có việc cần bán đi trong sự tiếc nuối.
+ Vị trí đẹp, giao thông đi lại thuận tiện, tiện ích xung quanh đầy đủ TTTM, chợ, trường học các cấp...
+ Hạ tầng tốt, dân trí cao, nhà thông đi các hướng Vũ Tông Phan, Kim Giang, Lê Trọng Tấn, Giải Phóng đều thuận tiện. 
+ Sổ đỏ A4 sẵn sàng giao dịch.
+ Liên hệ xem nhà  Hiếu: 0984262515( miễn trung gian).                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Định Công",4,4,4
13,https://bds.com.vn/ban-nha-me-tri---nam-tu-liem-dien-tich-45m-5t-gia-45-ty-p289861.html,"Bán nhà Mễ Trì - Nam Từ Liêm diện tích 45m 5t Giá 4,5 tỷ",nhà riêng,Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,4.50 tỷ,45 m2,09/08/2024,"- Bán nhà Mễ Trì, quận Nam Từ Liêm. Diện tích 45m, 5 tầng, Giá 4,5 tỷ, có thương lượng.
- Nhà do gia đình tự xây, khung cột bê tông chắc chắn, có cột chờ có thể xây thêm tầng, cầu thang giữa, tầng 2 phòng ngủ, tổng 6 phòng ngủ.
- Ví trí nhà rất đẹp, ngõ thẳng, nông, rộng dãi, xe ba gác tránh xe máy, xe vào nhà. Nhà cách mặt phố chỉ 50m. Rất gần nơi đỗ ô tô ngày đêm.
- Tiện ích xung quanh ngập tràn, gần chợ, gần trường học các cấp, gần UBNN, trạm y tế.
- Rất thuận tiện đi lại các đường như : Đại lộ Thăng Long, Trần Duy Hưng,Nguyễn Chí Thanh, ... Đồng Me, Mễ Trì, Phạm Hùng, .... vv.
- Các trung tâm thương mại lớn như : BigC, The Garlden, Công viên, ... vv.
- Sổ đỏ chính chủ. Hiện đang cất két, sẵn sàng giao dịch.
Liên hệ : A Thưởng. SDT : 0862847355                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Nam Từ Liêm
Mua bán nhà đất Phường Mễ Trì",,,
14,https://bds.com.vn/ban-can-ho-vov-me-tri-plaza-74m2-can-goc-2n1vs-1-ty-9x-p289647.html,"Bán Căn hộ VOV Mễ Trì Plaza 74m2 Căn Góc 2N1VS, 1 TỶ 9X",căn hộ chung cư,Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,1.95 tỷ,74 m2,09/08/2024,"⚡  Cam kết ảnh - thông tin thực tế của ngôi nhà
Nhà đã làm lại chống thấm wc, sửa hợp lý. Căn góc nên các phòng đều có view thoáng, ánh sáng tự nhiên. Bếp nằm gọn gàng trong khu riêng biệt, có cửa sổ lớn lấy sáng và gió.
Nội thất đồng bộ, đều còn mới bao gồm:
- Sàn gỗ tự nhiên, giường tủ quần áo, bàn ăn, ...
- Tủ bếp, bếp từ nội địa Nhật Panasonic và hút mùi
- Điều hoà 3 chiếc hãng Daikin hàng nhập Thái Lan.

Khu VOV có vị trí rất thuận lợi nằm giáp vành đai 3, vào trung tâm rất tiện, cách BigC Thăng Long 1,5km gần trường học bệnh viện...

Hàng xóm đối diện Vinhomes Greenbay, cạnh No1 Thăng Long, Ecolife,... Đây là nơi rất yên bình và lý tưởng để an cư.
Pháp lý: Sổ đỏ chính chủ.
Gia đình mong muốn 1 TỶ 9X có thương lượng
----------------------------------------------------------------------
Còn nhiều căn hộ bán gấp trước Tết từ 1 TỶ 7X ĐẾN 2 TỶ 5X, quý Cô Chú, Anh Chị thực sự quan tâm vui lòng liên hệ
VƯƠNG VOV nguồn nhà toàn khu VOV Mễ Trì

 ☎️ 0936 35 45 64                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Nam Từ Liêm
Mua bán nhà đất Phường Mễ Trì",,,
15,https://bds.com.vn/can-ban-ccmn-pho-cu-loc-voi-dien-tich-63m2-7tang-gia-chi-12-ty-p289717.html,"Cần bán CCMN phố Cự Lộc với diện tích 63m2, 7tầng, giá chỉ 12 tỷ",nhà mặt phố,Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,12 tỷ,63 m2,09/08/2024,"+ Cự Lộc là con phố nằm bên cạnh TTTM Royal City thông sang Quan Nhân, cả phố kinh doanh tấp nập với đầy đủ các loại hình, các TTTM và CC cao cấp bao bọc lấy phố, các trường Đại học và cao đẳng cách rất gần.
+Nhà có diện tích 63m2, 7 tầng giá chỉ 12 tỷ và nằm ở vị trí đẹp nhất của phố, cách đường Nguyễn Trãi chỉ 35m, giao thông thuận lợi,
+Nhà bán là nhà CCMN với thiết kế hợp lý, thuận tiện cho sinh hoạt, chắc chắn và khoa học với 23 phòng khép kín đầy đủ tiện nghi, đảm bảo thoải mái cho người ở, doanh thu ổn định cho chủ nhân, đã có đủ điều hòa và nóng lạnh giường tủ, gác xép, chỉ việc sở hữu và hốt bạc. 
+ Sổ đỏ chính chủ, pháp lý sạch, quy hoạch rõ ràng, thiết kế hợp lý.
Liên hệ em Hà để được tư vấn hỗ trợ miễn phí .                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Thanh Xuân Trung",23,23,7
16,https://bds.com.vn/575m2-o-to-do-cua-–--gan-hoc-vien-chinh-sach-va-phat-trien-–-tai-xa-an-thuong--hoai-duc--hn-p289851.html,57.5m2 ô tô đỗ cửa –  Gần học viện chính sách và phát triển – Tại xã An Thượng -Hoài Đức -HN,,,,,1.95 tỷ,57 m2,09/08/2024,"57.5m2 ô tô ĐỖ CỬA – SĐCC – GẦN HỌC VIỆN CHÍNH SÁCH VÀ PHÁT TRIỂN
– TẠI THÔN AN HẠ, XÃ AN THƯỢNG -HOÀI ĐỨC -HÀ NỘI
– Cách trường học cấp 1,2 & Mầm Non, trạm y tế & Ubnd xã An Thượng trong phạm vi khoảng 350m đổ lại.
– Cách học viện chính sách 500m
– Cách đường đại lộ thăng 800m
– Diện tích đất 57.5m2 sổ đỏ riêng biệt rồi
– Mặt tiền rộng 4.50m
– Mặt Hậu nhà rộng 4.50m
– Chiều sâu của đất 12m60
– Ngõ trước mặt nhà rộng 3m o tô đỗ cửa
– Hướng Tây Bắc
– Vi trí Khu đông dân cư ở: An ninh trật tự xã hội trung quanh rất tốt.
– quý anh chị quan tâm liên hệ                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Huyện Quốc Oai
Mua bán nhà đất Huyện Quốc Oai",,,
17,https://bds.com.vn/sieu-pham-sieu-pham-sieu-pham-lac-long-quan---xem-nha-la-quen-loi-ve-p289876.html,SIÊU PHẨM! SIÊU PHẨM! SIÊU PHẨM LẠC LONG QUÂN - XEM NHÀ LÀ QUÊN LỐI VỀ,nhà riêng,Hà Nội,Quận Tây Hồ,Phường Nhật Tân,4.80 tỷ,,09/08/2024,"SIÊU PHẨM! SIÊU PHẨM! SIÊU PHẨM LẠC LONG QUÂN
XEM NHÀ LÀ QUÊN LỐI VỀ
Mô tả:
+ Vị trí: đắc địa, giao thương thuận tiện, gần ngã 5 Lạc Long Quân – Hoàng Quốc Việt – Hoàng Hoa Thám – Thụy Khuê – Võ Chí Công
•	50m ra mặt ngõ, 100m ra mặt phố lớn
+ Diện tích: 40m, 5 tầng, 3 ngủ + WC khép kín
•	Mặt tiền rộng rãi hơn 5m, nhà thoáng trước sau, ánh sáng tự nhiên nhiều
+ Tiện ích: nhà mới thiết kế tỉ mỉ cực đẹp, khách chỉ việc xách vali đến ở mà thôi
•	Bãi ô tô gửi ngày đêm chỉ cách nhà 70m
•	An ninh tốt, hàng xóm thân thiện, chủ nhà thiện chí
+ Giá: nhỉnh 4 tỏi là sở hữu em Ngọc Trinh này
+ Liên hệ: Mr Quốc Hồ Thổ 0983367642 để xem nhà
P/s: hàng ngon không đợi người chậm trễ                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Tây Hồ
Mua bán nhà đất Phường Nhật Tân",3,3,5
18,https://bds.com.vn/chinh-chu-can-ban-nha-4-tang-moi-xay-phuong-linh-nam-hoang-mai-ha-noi-gia-tot-p289933.html,"Chính chủ cần bán nhà 4 tầng mới xây Phường Lĩnh Nam, Hoàng Mai, Hà Nội, giá tốt",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,4.10 tỷ,39 m2,09/08/2024,"Chính chủ cần bán nhà tại: Phường Lĩnh Nam - Hoàng Mai - Hà Nội
-Diện tích : 39m2, mặt tiền 3m.
-Kết cấu nhà 4 tầng, sàn gỗ cao cấp:
+Tầng 1: 1 phòng khách, 1 bếp và 1 wc.
+Tầng 2: 2 ngủ và 1 wc
+Tầng 3: 2 ngủ và 1 wc
+Tầng 4: 1 phòng thờ 1 wc và khu sân phơi rộng thoáng.
-Nhà hướng đông cách đường lớn 5m, ngõ thông thoáng ô tô đỗ cửa
-Tương lai ra mặt đường lớn, áp đường vành đai cầu Thanh Trì.
-Khu dân cư đông đúc, an ninh, gần chợ, gần trường học, giao thông thuận tiện.
-Thích hợp định cư, cho thuê, đầu tư,...

Sổ đỏ chính chủ sang tên ngay 
Giá bán : 4,1 tỷ ( có thương lượng), không tiếp trung gian.
Liên hệ trực tiếp : Mr Nam - 0974271167 xem nhà.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Lĩnh Nam",,,
19,https://bds.com.vn/cuc-hiem-khuong-dinh-40m2-2-thoang-chu-tu-xay-o-luon-nhinh-3-ty-p289997.html,"CỰC HIẾM KHƯƠNG ĐÌNH 40M2, 2 THOÁNG, CHỦ TỰ XÂY, Ở LUÔN NHỈNH 3 TỶ",nhà riêng,Hà Nội,Quận Thanh Xuân,Phường Khương Đình,3.98 tỷ,40 m2,09/08/2024,"+ Vị trí đẹp tuyệt vời, giao thông thuận tiện, khu dân trí cao, yên tĩnh, gần Royal City, hồ Hạ Đình, trường cấp 1, 2 Hạ Đình, chung cư Five Star. Ngõ trước nhà rộng thoáng, ba gác đỗ cửa, chỉ 50m ra mặt phố Khương Đình.
+ Nhà chủ tự xây ở vài năm vẫn còn như mới, hai mặt thoáng trước sau, sinh khí ngập tràn.
+ Nhà xây 3 tầng, móng cột chắc chắn lên được 5 tầng thoải mái. Đầy đủ công năng 3 phòng ngủ, full nội thất, khách mua chỉ việc xách vali về ở luôn.
+ Thiết kế:
Tầng 1: khách, bếp, vs.
Tầng 2: 2 ngủ + vs.
Tầng 3: 1 ngủ, phòng thờ, vs, sân phơi.
+ Sổ đỏ thi hoa hậu, sẵn sàng giao dịch.
+ Liên hệ: Hoàng Thắng 0975.916.986 để được tư vấn và xem nhà miễn phí.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Khương Đình",3,3,3
20,https://bds.com.vn/lo-goc-nha-moi-gara-o-tongo-thong-kinh-doanh-nguyen-chinh-45m2-59-ti-p290007.html,"Lô góc, nhà mới, gara ô tô,ngõ thông, kinh doanh, nguyễn chính 45m2-5.9 tỉ.",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,5.90 tỷ,45 m2,09/08/2024,"Lô góc, nhà mới, gara ô tô,ngõ thông, kinh doanh, nguyễn chính 45m2-5.9 tỉ.
Nhà mới xây, đường thông, ngõ thoáng , gara ô tô, kinh doanh vô đối, khu vực tiềm năng, giá bán siêu mỏng.
Nằm trong khu vực cực phát triển của hoàng mai, sau quy hoạch càng giá trị hơn.
Thông số cơ bản : 
Diện tích : 45m2
Thiết kế : 5 tầng , phong cách hiện đại 
Mặt tiền : 3.6m
Giá bán : 5.9 tỉ 
Vị trí : lô góc 
Tiềm năng : vô hạn  
Mô tả:
+ Nhà vừa hoàn thiện xong mới koong, trước nhà 4m, ô tô đỗ cửa, kinh doanh. 
+ Thiết kế căn A
- Tầng 1: thông sàn + bếp + WC
- Tầng 2,3,4: 6 ngủ + WC
- Tầng 5: phòng thờ + Sân phơi 
+ Thiết kế căn B, tầng 1 phòng. 
+ Sổ đỏ vuông vắn 
Liên hệ : mr lưu 0828291182                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Thịnh Liệt",6,,5
21,https://bds.com.vn/186-ty-nha-mat-pho-tram-83m2-mt-44m-vi-tri-sieu-vip-trung-tam-quan-long-bien-p290012.html,"18.6 tỷ Nhà mặt phố Trạm, 83m2, MT 4.4m vị trí siêu víp trung tâm quận Long Biên",nhà mặt phố,Hà Nội,Quận Long Biên,Phường Long Biên,18.60 tỷ,83 m2,09/08/2024,"+ Nhà mặt phố Trạm vị trí siêu Víp, vỉa hè phố lớn, thênh thang rộng, KD đa nghành nghề, nhà hàng, khách sạn,cho thuê văn phòng.. đều đẹp, 300m đến TTTM AEON Long Biên
+ thông thương các tuyến phố, Cổ Linh, Hồng Tiến, Chu Huy Mân.Đam Quang Trung, 5p qua cầu Vĩnh Tuy sang khu đô thị TIME CYTY, 5P lên cầu Thanh Trì
+ Nhà hiện trạng 4 tầng, siêu đẹp, thiết kế hiện đại 
Tầng 1: Gara ô tô, phòng khách, phòng ăn, bếp và bể cá tiểu cảnh tuyệt đẹp.
Tầng 2,3: Mỗi tầng 2 phòng ngủ siêu đẹp, rộng rãi và nhà vệ sinh.
Tầng 4: Phòng thờ, sân phơi rộng rãi.
+ Sổ đỏ chính chủ, vuông đẹp, cất két chờ giao dịch !
LH 0766113333                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Long Biên
Mua bán nhà đất Phường Long Biên",,,4
22,https://bds.com.vn/sieu-pham-nha-ngo-pho-vong-45m2-nha-4-tang-5m2-5-ty-trung-tam-quan-thanh-xuan-p290148.html,SIÊU PHẨM NHÀ NGÕ Phố Vọng 45M2 NHÀ 4 TẦNG 5M2 5 tỷ TRUNG TÂM QUẬN Thanh Xuân,nhà riêng,Hà Nội,Quận Thanh Xuân,Phường Phương Liệt,5 tỷ,45 m2,09/08/2024,"SIÊU PHẨM NHÀ NGÕ Phố Vọng 45M2 NHÀ 4 TẦNG 5M2 5 tỷ TRUNG TÂM QUẬN Thanh Xuân  
HIẾM HIẾM - NHÀ ĐẸP CỰC - THOÁNG TRƯỚC SAU VĨNH VIỄN - NGÕ TRƯỚC NHÀ 3M. 
+ Mô tả. 
- Tầng 1 Phòng khách và bếp. 
- Tầng 2+3 Tổng 4 ngủ, 2 ngủ to và 2 ngủ nhỏ, phòng nào cũng có cửa sổ đón ánh sáng ngập tràn. 
- Tầng 4 Phòng thờ và sân phơi. 
+ Sổ đỏ vuông vắn, sẵn sàng sang tên.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Phương Liệt",4,4,4
